x,y
-50,9.0150E-12
-49.79999924,7.5447E-12
-49.59999847,6.4109E-12
-49.40000153,5.7390E-12
-49.20000076,5.1657E-12
-49,4.5328E-12
-48.79999924,4.1372E-12
-48.59999847,3.7763E-12
-48.40000153,3.6875E-12
-48.20000076,3.2358E-12
-48,3.0950E-12
-47.79999924,3.0453E-12
-47.59999847,2.6426E-12
-47.40000153,2.4349E-12
-47.20000076,2.3933E-12
-47,2.2964E-12
-46.79999924,2.2851E-12
-46.59999847,1.8253E-12
-46.40000153,1.9194E-12
-46.20000076,1.8922E-12
-46,2.0739E-12
-45.79999924,1.8649E-12
-45.59999847,1.8044E-12
-45.40000153,1.7034E-12
-45.20000076,1.4874E-12
-45,1.4612E-12
-44.79999924,1.5399E-12
-44.59999847,1.5192E-12
-44.40000153,1.7062E-12
-44.20000076,1.4059E-12
-44,1.3956E-12
-43.79999924,1.5028E-12
-43.59999847,1.2301E-12
-43.40000153,1.4145E-12
-43.20000076,1.4564E-12
-43,1.1705E-12
-42.79999924,1.2157E-12
-42.59999847,1.1271E-12
-42.40000153,1.0163E-12
-42.20000076,980.2528E-15
-42,861.6612E-15
-41.79999924,1.0819E-12
-41.59999847,1.1450E-12
-41.40000153,933.3215E-15
-41.20000076,747.1158E-15
-41,822.3052E-15
-40.79999924,842.2384E-15
-40.59999847,912.1281E-15
-40.40000153,868.7259E-15
-40.20000076,910.6095E-15
-40,774.6168E-15
-39.79999924,761.4922E-15
-39.59999847,866.2033E-15
-39.40000153,714.5619E-15
-39.20000076,774.1079E-15
-39,735.2516E-15
-38.79999924,628.7753E-15
-38.59999847,663.8469E-15
-38.40000153,827.0937E-15
-38.20000076,619.1874E-15
-38,566.7062E-15
-37.79999924,722.1313E-15
-37.59999847,545.2595E-15
-37.40000153,672.9301E-15
-37.20000076,673.9394E-15
-37,634.5785E-15
-36.79999924,587.9005E-15
-36.59999847,594.7130E-15
-36.40000153,517.2527E-15
-36.20000076,666.8747E-15
-36,648.9604E-15
-35.79999924,734.7470E-15
-35.59999847,610.1041E-15
-35.40000153,651.4835E-15
-35.20000076,626.2521E-15
-35,583.8635E-15
-34.79999924,550.5581E-15
-34.59999847,530.1207E-15
-34.40000153,666.3730E-15
-34.20000076,515.7388E-15
-34,782.9438E-15
-33.79999924,461.7437E-15
-33.59999847,588.4051E-15
-33.40000153,440.2971E-15
-33.20000076,1.0194E-12
-33,3.0691E-12
-32.79999924,15.9983E-12
-32.59999847,74.0067E-12
-32.40000153,288.3293E-12
-32.20000076,1.0454E-9
-32,2.9446E-9
-31.79999924,5.6347E-9
-31.60000038,13.8303E-9
-31.39999962,27.4646E-9
-31.20000076,48.2506E-9
-31,71.9495E-9
-30.79999924,112.9025E-9
-30.60000038,165.1207E-9
-30.39999962,230.0409E-9
-30.20000076,308.4592E-9
-30,401.5382E-9
-29.79999924,496.8138E-9
-29.60000038,622.9345E-9
-29.39999962,765.0358E-9
-29.20000076,923.7679E-9
-29,1.0999E-6
-28.79999924,1.2941E-6
-28.60000038,1.5080E-6
-28.39999962,1.7362E-6
-28.20000076,1.9882E-6
-28,2.2603E-6
-27.79999924,2.5557E-6
-27.60000038,2.8750E-6
-27.39999962,3.2165E-6
-27.20000076,3.5815E-6
-27,3.9732E-6
-26.79999924,4.3909E-6
-26.60000038,4.8340E-6
-26.39999962,5.3044E-6
-26.20000076,5.8013E-6
-26,6.3263E-6
-25.79999924,6.8814E-6
-25.60000038,7.4622E-6
-25.39999962,8.0747E-6
-25.20000076,8.7095E-6
-25,9.3788E-6
-24.79999924,9.9998E-6
-24.60000038,9.9999E-6
-24.39999962,9.9999E-6
-24.20000076,9.9999E-6
-24,9.9999E-6
-23.79999924,9.9999E-6
-23.60000038,9.9999E-6
-23.39999962,9.9999E-6
-23.20000076,9.9999E-6
-23,9.9999E-6
-22.79999924,9.9999E-6
-22.60000038,9.9999E-6
-22.39999962,9.9999E-6
-22.20000076,9.9999E-6
-22,9.9999E-6
-21.79999924,9.9999E-6
-21.60000038,9.9999E-6
-21.39999962,9.9999E-6
-21.20000076,9.9999E-6
-21,9.9999E-6
-20.79999924,9.9999E-6
-20.60000038,9.9999E-6
-20.39999962,9.9999E-6
-20.20000076,9.9999E-6
-20,9.9999E-6
-19.79999924,9.9999E-6
-19.60000038,9.9999E-6
-19.39999962,9.9999E-6
-19.20000076,9.9999E-6
-19,9.9999E-6
-18.79999924,9.9999E-6
-18.60000038,9.9999E-6
-18.39999962,9.9999E-6
-18.20000076,9.9999E-6
-18,9.9999E-6
-17.79999924,9.9999E-6
-17.60000038,9.9999E-6
-17.39999962,9.9999E-6
-17.20000076,9.9999E-6
-17,9.9999E-6
-16.79999924,9.9999E-6
-16.60000038,9.9999E-6
-16.39999962,9.9999E-6
-16.20000076,9.9999E-6
-16,9.9999E-6
-15.80000019,9.9999E-6
-15.60000038,9.9999E-6
-15.39999962,9.9999E-6
-15.19999981,9.9999E-6
-15,9.9999E-6
-14.80000019,9.9999E-6
-14.60000038,9.9999E-6
-14.39999962,9.9999E-6
-14.19999981,9.9999E-6
-14,9.9999E-6
-13.80000019,9.9999E-6
-13.60000038,9.9999E-6
-13.39999962,9.9999E-6
-13.19999981,9.9999E-6
-13,9.9999E-6
-12.80000019,9.9999E-6
-12.60000038,9.9999E-6
-12.39999962,9.9999E-6
-12.19999981,9.9999E-6
-12,9.9999E-6
-11.80000019,9.9999E-6
-11.60000038,9.9999E-6
-11.39999962,9.9999E-6
-11.19999981,9.9999E-6
-11,9.9999E-6
-10.80000019,9.9999E-6
-10.60000038,9.9999E-6
-10.39999962,9.9999E-6
-10.19999981,9.9999E-6
-1.00E+01,9.9999E-6
-9.800000191,9.9999E-6
-9.600000381,9.9999E-6
-9.399999619,9.9999E-6
-9.199999809,9.9999E-6
-9,9.9999E-6
-8.800000191,9.9999E-6
-8.600000381,9.9999E-6
-8.399999619,9.9999E-6
-8.199999809,9.9999E-6
-8,9.9999E-6
-7.800000191,9.9999E-6
-7.599999905,9.9999E-6
-7.400000095,9.9999E-6
-7.199999809,9.9999E-6
-7,9.9999E-6
-6.800000191,9.9999E-6
-6.599999905,9.9999E-6
-6.400000095,9.9999E-6
-6.199999809,9.9999E-6
-6,9.9999E-6
-5.800000191,9.9999E-6
-5.599999905,9.9999E-6
-5.400000095,9.9999E-6
-5.199999809,9.9999E-6
-5,9.9999E-6
-4.800000191,9.9999E-6
-4.599999905,9.9999E-6
-4.400000095,9.9999E-6
-4.199999809,9.9999E-6
-4,9.9999E-6
-3.799999952,9.9999E-6
-3.599999905,9.9999E-6
-3.400000095,9.9999E-6
-3.200000048,9.9999E-6
-3,9.9999E-6
-2.799999952,9.9999E-6
-2.599999905,9.9999E-6
-2.400000095,9.9999E-6
-2.200000048,9.9999E-6
-2,9.9999E-6
-1.799999952,9.9999E-6
-1.600000024,9.9999E-6
-1.399999976,9.9999E-6
-1.200000048,9.9999E-6
-1,9.9999E-6
-0.800000012,9.9999E-6
-0.600000024,9.9999E-6
-0.400000006,9.9999E-6
-0.200000003,9.9999E-6
0,9.9999E-6
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
